payment_id,customer_id,amount,currency,payment_method,failure_code,failure_message,attempt_number,customer_segment,created_at,is_recovered,recovered_amount,split,dataset_seed
pay_000001,cus_00138,25000,INR,netbanking,authentication_failure,Authentication failure,2,returning_customer,2026-01-01T08:19:00Z,true,25000,development,20260822
pay_000002,cus_00011,799,INR,netbanking,authentication_failure,Authentication failure,1,returning_customer,2026-04-21T14:45:00Z,false,0,development,20260822
pay_000003,cus_00053,50000,INR,netbanking,technical_error,Unknown technical error,1,subscription,2026-03-04T12:48:00Z,true,50000,development,20260822
pay_000004,cus_00087,4999,INR,card,technical_error,Unknown technical error,1,new_customer,2026-01-09T11:59:00Z,true,4999,development,20260822
pay_000005,cus_00027,999,INR,wallet,bank_timeout,Bank timeout,1,business_customer,2026-06-15T07:45:00Z,true,999,development,20260822
pay_000006,cus_00360,1499,INR,upi,bank_timeout,Bank timeout,4,returning_customer,2026-02-03T06:21:00Z,true,1499,development,20260822
pay_000007,cus_00131,7500,INR,netbanking,bank_timeout,Bank timeout,1,business_customer,2026-06-15T01:01:00Z,true,7500,development,20260822
pay_000008,cus_00028,12000,INR,upi,insufficient_funds,Insufficient funds,3,subscription,2026-06-29T13:39:00Z,false,0,development,20260822
pay_000009,cus_00139,999,INR,wallet,authentication_failure,Authentication failure,4,new_customer,2026-03-21T13:06:00Z,false,0,development,20260822
pay_000010,cus_00315,499,INR,netbanking,authentication_failure,Authentication failure,1,returning_customer,2026-02-12T13:48:00Z,false,0,development,20260822
pay_000011,cus_00224,4999,INR,netbanking,suspected_fraud,Suspected fraud,2,subscription,2026-05-25T19:09:00Z,false,0,development,20260822
pay_000012,cus_00142,50000,INR,netbanking,invalid_account,Invalid account,1,returning_customer,2026-01-22T04:34:00Z,false,0,development,20260822
pay_000013,cus_00414,4999,INR,wallet,daily_limit_exceeded,Daily limit exceeded,1,business_customer,2026-02-20T16:31:00Z,true,4999,development,20260822
pay_000014,cus_00251,50000,INR,upi,technical_error,Unknown technical error,1,returning_customer,2026-05-23T18:29:00Z,true,50000,development,20260822
pay_000015,cus_00134,7500,INR,wallet,invalid_account,Invalid account,3,returning_customer,2026-05-24T07:38:00Z,false,0,development,20260822
pay_000016,cus_00092,499,INR,card,insufficient_funds,Insufficient funds,1,subscription,2026-05-26T18:18:00Z,true,499,development,20260822
pay_000017,cus_00056,499,INR,netbanking,technical_error,Unknown technical error,1,returning_customer,2026-03-28T20:30:00Z,false,0,development,20260822
pay_000018,cus_00081,1499,INR,wallet,bank_timeout,Bank timeout,2,business_customer,2026-04-18T17:17:00Z,true,1499,development,20260822
pay_000019,cus_00148,999,INR,card,insufficient_funds,Insufficient funds,1,new_customer,2026-02-22T06:54:00Z,true,999,development,20260822
pay_000020,cus_00196,1999,INR,card,daily_limit_exceeded,Daily limit exceeded,4,subscription,2026-01-23T17:08:00Z,false,0,development,20260822
pay_000021,cus_00220,25000,INR,netbanking,insufficient_funds,Insufficient funds,1,returning_customer,2026-01-12T23:06:00Z,true,25000,development,20260822
pay_000022,cus_00324,12000,INR,netbanking,insufficient_funds,Insufficient funds,1,returning_customer,2026-06-14T00:54:00Z,true,12000,development,20260822
pay_000023,cus_00260,25000,INR,wallet,authentication_failure,Authentication failure,4,business_customer,2026-02-16T03:37:00Z,false,0,development,20260822
pay_000024,cus_00396,25000,INR,upi,suspected_fraud,Suspected fraud,2,business_customer,2026-02-18T18:05:00Z,false,0,development,20260822
pay_000025,cus_00393,4999,INR,wallet,daily_limit_exceeded,Daily limit exceeded,1,returning_customer,2026-06-28T20:48:00Z,true,4999,development,20260822
pay_000026,cus_00041,25000,INR,upi,daily_limit_exceeded,Daily limit exceeded,1,subscription,2026-06-18T04:27:00Z,false,0,development,20260822
pay_000027,cus_00413,1999,INR,card,authentication_failure,Authentication failure,1,new_customer,2026-02-24T15:17:00Z,false,0,development,20260822
pay_000028,cus_00296,1999,INR,card,insufficient_funds,Insufficient funds,1,subscription,2026-06-26T13:26:00Z,true,1999,development,20260822
pay_000029,cus_00401,1999,INR,upi,insufficient_funds,Insufficient funds,1,subscription,2026-03-04T08:27:00Z,true,1999,development,20260822
pay_000030,cus_00191,999,INR,card,technical_error,Unknown technical error,1,subscription,2026-04-22T15:58:00Z,true,999,development,20260822
pay_000031,cus_00204,25000,INR,netbanking,insufficient_funds,Insufficient funds,3,business_customer,2026-05-26T05:58:00Z,false,0,development,20260822
pay_000032,cus_00014,999,INR,wallet,expired_card,Expired card,3,new_customer,2026-01-28T10:52:00Z,false,0,development,20260822
pay_000033,cus_00020,1999,INR,wallet,authentication_failure,Authentication failure,1,business_customer,2026-01-24T08:20:00Z,true,1999,development,20260822
pay_000034,cus_00372,999,INR,card,daily_limit_exceeded,Daily limit exceeded,1,returning_customer,2026-01-02T08:02:00Z,false,0,development,20260822
pay_000035,cus_00004,25000,INR,card,technical_error,Unknown technical error,1,business_customer,2026-05-10T23:12:00Z,true,25000,development,20260822
pay_000036,cus_00053,50000,INR,card,authentication_failure,Authentication failure,1,subscription,2026-04-14T21:55:00Z,true,50000,development,20260822
pay_000037,cus_00369,799,INR,netbanking,invalid_account,Invalid account,4,returning_customer,2026-06-21T22:38:00Z,false,0,development,20260822
pay_000038,cus_00172,2999,INR,netbanking,authentication_failure,Authentication failure,1,business_customer,2026-03-31T14:46:00Z,true,2999,development,20260822
pay_000039,cus_00173,999,INR,upi,insufficient_funds,Insufficient funds,2,returning_customer,2026-02-01T06:17:00Z,true,999,development,20260822
pay_000040,cus_00185,7500,INR,wallet,insufficient_funds,Insufficient funds,2,business_customer,2026-06-24T16:04:00Z,false,0,development,20260822
pay_000041,cus_00250,25000,INR,netbanking,daily_limit_exceeded,Daily limit exceeded,2,subscription,2026-04-11T05:35:00Z,true,25000,development,20260822
pay_000042,cus_00350,1499,INR,card,expired_card,Expired card,1,returning_customer,2026-04-03T09:22:00Z,false,0,development,20260822
pay_000043,cus_00299,2999,INR,card,insufficient_funds,Insufficient funds,3,new_customer,2026-02-18T22:38:00Z,false,0,development,20260822
pay_000044,cus_00151,1499,INR,upi,insufficient_funds,Insufficient funds,1,subscription,2026-06-25T01:31:00Z,false,0,development,20260822
pay_000045,cus_00330,50000,INR,netbanking,technical_error,Unknown technical error,2,subscription,2026-05-01T00:20:00Z,false,0,development,20260822
pay_000046,cus_00160,1499,INR,wallet,authentication_failure,Authentication failure,4,subscription,2026-03-30T22:53:00Z,false,0,development,20260822
pay_000047,cus_00228,50000,INR,netbanking,insufficient_funds,Insufficient funds,3,new_customer,2026-06-03T18:19:00Z,false,0,development,20260822
pay_000048,cus_00407,1499,INR,wallet,invalid_account,Invalid account,3,new_customer,2026-03-12T21:44:00Z,false,0,development,20260822
